"Cruise","Station","Date","Latitude [deg]","Longitude [deg]","Pressure [db]","Temperature [deg C]","Temperature [deg C]","Conductivity [S/m]","Conductivity [S/m]","Oxygen [umol/l]","Fluorescence [ug/l]","Beam Transmission [%]","Beam Attenuation [1/m]","Salinity [PSU]","Salinity [PSU]","Density [kg/m^3]","Density [kg/m^3]","Density [kg/m^3]","Density [kg/m^3]","flag [# name 17 = flag: flag]"
"NOR1_T007","A",2020-11-29,22.31214,120.54293,3,26.9935,26.9926,5.412081,5.410853,213.311,0.2048,76.4876,1.0722,34.2552,34.2471,22.1592,22.1534,1022.1719,1022.166,0
"NOR1_T007","A",2020-11-29,22.31214,120.54294,4,26.9946,26.9901,5.412324,5.410642,213.333,0.261,76.2953,1.0822,34.2559,34.2472,22.1594,22.1543,1022.1763,1022.1712,0
"NOR1_T007","A",2020-11-29,22.31214,120.54294,5,26.9942,26.9939,5.412312,5.411175,213.882,0.2295,76.1257,1.0911,34.2557,34.2479,22.1595,22.1536,1022.1806,1022.1748,0
"NOR1_T007","A",2020-11-29,22.31214,120.54295,6,26.9975,26.9967,5.412768,5.411573,213.023,0.2326,76.4695,1.0731,34.2563,34.2484,22.159,22.1532,1022.1843,1022.1786,0
"NOR1_T007","A",2020-11-29,22.31214,120.54296,7,26.993,26.9962,5.412255,5.411558,214.205,0.2268,76.276,1.0833,34.2556,34.2483,22.1599,22.1534,1022.1895,1022.183,0
"NOR1_T007","A",2020-11-29,22.31214,120.54296,8,26.9924,26.9944,5.412191,5.411363,213.484,0.2391,75.9489,1.1004,34.2553,34.248,22.16,22.1538,1022.1938,1022.1876,0
"NOR1_T007","A",2020-11-29,22.31214,120.54296,9,26.99,26.993,5.411939,5.411247,213.628,0.2346,75.6943,1.1139,34.255,34.2479,22.1606,22.1543,1022.1986,1022.1923,0
"NOR1_T007","A",2020-11-29,22.31215,120.54296,10,26.9844,26.9908,5.411319,5.411009,213.893,0.2728,75.5711,1.1204,34.2544,34.2475,22.162,22.1547,1022.2043,1022.1969,0
"NOR1_T007","A",2020-11-29,22.31216,120.54296,11,26.9768,26.9796,5.410264,5.409635,212.454,0.2756,74.2526,1.191,34.2523,34.2457,22.1629,22.157,1022.2093,1022.2035,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,12,26.9729,26.9735,5.409804,5.408797,211.27,0.2873,71.789,1.3258,34.2515,34.2439,22.1636,22.1577,1022.2143,1022.2084,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,13,26.9724,26.9733,5.40977,5.408796,210.6,0.3171,71.8559,1.322,34.2514,34.2437,22.1637,22.1577,1022.2186,1022.2126,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,14,26.9713,26.9727,5.409678,5.408792,211.548,0.3127,71.3194,1.3521,34.2512,34.2439,22.164,22.1581,1022.2232,1022.2172,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,15,26.9675,26.9707,5.409082,5.40855,211.286,0.3029,69.8898,1.4333,34.2494,34.2433,22.164,22.1583,1022.2273,1022.2217,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,16,26.959,26.965,5.407911,5.40772,209.722,0.3382,66.6888,1.621,34.2471,34.2413,22.165,22.1588,1022.2326,1022.2264,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,17,26.9586,26.96,5.407869,5.407002,207.545,0.4935,65.7233,1.6789,34.2468,34.2396,22.1649,22.1591,1022.2368,1022.231,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,18,26.9559,26.9577,5.407503,5.406687,208.254,0.4026,65.1134,1.7162,34.2459,34.2387,22.1652,22.1593,1022.2413,1022.2353,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,19,26.9548,26.9553,5.407427,5.406407,207.29,0.3438,64.4956,1.7543,34.2459,34.2382,22.1656,22.1597,1022.2459,1022.24,0
"NOR1_T007","A",2020-11-29,22.31216,120.54298,20,26.9553,26.9549,5.407523,5.406385,207.827,0.3486,64.2723,1.7682,34.2459,34.238,22.1656,22.1598,1022.2501,1022.2443,0
"NOR1_T007","A",2020-11-29,22.31216,120.543,21,26.9518,26.9532,5.407071,5.406197,207.536,0.3746,63.9462,1.7886,34.2449,34.2377,22.166,22.1601,1022.2547,1022.2488,0
"NOR1_T007","A",2020-11-29,22.31216,120.543,22,26.9474,26.9494,5.406517,5.405726,206.974,0.4285,62.7579,1.8636,34.2439,34.2368,22.1668,22.1607,1022.2597,1022.2537,0
"NOR1_T007","A",2020-11-29,22.31216,120.54301,23,26.9433,26.9426,5.406265,5.405023,205.799,0.3826,61.0357,1.9745,34.2448,34.2365,22.1688,22.1628,1022.266,1022.2599,0
"NOR1_T007","A",2020-11-29,22.31216,120.54302,22,26.9464,26.9478,5.406418,5.405456,206.118,0.3183,61.6683,1.9336,34.2439,34.2361,22.167,22.1607,1022.26,1022.2537,0
"NOR1_T007","A",2020-11-29,22.31216,120.54304,21,26.9485,26.9489,5.406621,5.405554,205.694,0.3209,61.9049,1.9183,34.2442,34.2363,22.1665,22.1604,1022.2552,1022.2492,0
"NOR1_T007","A",2020-11-29,22.31216,120.54304,20,26.9489,26.9488,5.406632,5.405503,206.518,0.3373,62.0173,1.911,34.2442,34.2363,22.1663,22.1604,1022.2508,1022.2449,0
"NOR1_T007","A",2020-11-29,22.31216,120.54304,19,26.9496,26.9492,5.406668,5.405499,207.022,0.3489,61.8446,1.9222,34.2442,34.2362,22.166,22.1601,1022.2463,1022.2404,0
"NOR1_T007","A",2020-11-29,22.31216,120.54304,18,26.9496,26.9488,5.406726,5.405443,206.465,0.3524,62.1453,1.9029,34.245,34.2364,22.1666,22.1603,1022.2426,1022.2364,0
"NOR1_T007","A",2020-11-29,22.31216,120.54304,17,26.9663,26.965,5.409067,5.407671,206.245,0.35,68.5767,1.5092,34.2496,34.2407,22.1647,22.1583,1022.2365,1022.2302,0
"NOR1_T007","A",2020-11-29,22.31216,120.54304,16,26.9641,26.9644,5.408755,5.407658,211.008,0.3494,68.6352,1.5055,34.2493,34.2413,22.165,22.159,1022.2326,1022.2266,0
