".id","Cruise","Date","Habitat","Region","Depth","Station","Deployment","Tube","Sample","Incubator","P_flux","Si_flux","N_flux","Temperature","In_situ_temperature","In_situ_P_flux","In_situ_Si_flux","In_situ_N_flux","DO_flux","In_situ_DO_flux","DOU"
"OR1_1190|GC1|1|11|SW","OR1_1190",2018-03-26,"Canyon","Gaoping",321,"GC1","1",11,"SW",1,-0.0201268802259634,0.563300271653295,-0.257229036626278,7.95,12.55035,-0.0276860370788042,0.774861877866971,-0.35383788077565,-6.20447437666111,-8.49864525642818,-7.393516761354
"OR1_1190|GC3|1|12|SW","OR1_1190",2018-03-26,"Canyon","Gaoping",655,"GC3","1",12,"SW",2,0.00424032035945244,-0.356027399710264,-0.26608334286093,7.95,7.55346666666667,0.00412535974405679,-0.346375032554285,-0.25886947639595,-1.65714970598124,-1.60982933517613,-12.8744029982713
"OR1_1190|GC5|1|8|SW","OR1_1190",2018-03-27,"Canyon","Gaoping",1374,"GC5","1",8,"SW",4,0.0116941123392736,-0.153416489466646,-0.0447514336689616,8,3.18378333333333,0.00837499764012123,-0.109872617943283,-0.0320497307102896,-2.56609773537883,-1.84871890472737,-8.13053424050501
"OR1_1190|GS5|1|2|SW","OR1_1190",2018-03-28,"Slope","Gaoping",1275,"GS5","1",2,"SW",6,0.00468609731282545,0.786911789509193,-0.247746145190847,8,3.47288333333333,0.00342398230806195,0.574971424069785,-0.181020230993142,-3.69901373218936,-2.70650112860786,-8.17952680327624
"OR1_1190|GC6|2|10|SW","OR1_1190",2018-03-28,"Canyon","Gaoping",1593,"GC6","2",10,"SW",7,0.00405846073337571,0.638921310439272,-0.296844792837029,7.95,2.87641666666667,0.00285516539672173,0.449487166844404,-0.208833110971201,-2.31483980871545,-1.63039405162008,-1.70415143957169
"OR1_1190|GS6|1|7|SW","OR1_1190",2018-03-29,"Slope","Gaoping",1612,"GS6","1",7,"SW",8,-0.104437839797028,6.24303983656793,-0.367217179993454,7.75,2.5916,-0.0730423213967761,4.3662921707468,-0.256826408279109,-5.11164480158694,-3.7647331018388,-0.585677571567502
"OR1_1190|FC5A|3|10|SW","OR1_1190",2018-03-29,"Canyon","Fangliao",1106,"FC5A","3",10,"SW",9,-0.027235238047459,-0.842867241623073,-0.709679940502517,7.9,3.47093333333333,-0.020035629107995,-0.620056098316874,-0.522076731935118,-1.71506479836178,-1.34313074805536,
"OR1_1190|FS5C|1|9|SW","OR1_1190",2018-03-29,"Slope","Fangliao",1063,"FS5C","1",9,"SW",1,0.0485176633742246,1.81051493669833,1.13737731972091,7.8,4.39003333333333,0.038304487133001,1.42939377690045,0.897954515504589,-3.79224278856812,-2.63391964346342,-0.296695299335323
"OR1_1190|FC4|1|10|SW","OR1_1190",2018-03-30,"Canyon","Fangliao",962,"FC4","1",10,"SW",10,0.00823172004359827,2.98060518920332,-0.412032986710347,7.8,4.72726666666667,0.00665261057287476,2.40882895558141,-0.332991767120912,-4.45006063066966,-3.6151403534263,-1.34057045121992
"OR1_1190|FS1|1|10|SW","OR1_1190",2018-03-30,"Slope","Fangliao",213,"FS1","1",10,"SW",2,0.0428851032982965,1.87538304392237,0.805545216449303,7.8,13.8970333333333,0.0654403257186538,2.86173211214803,1.22921801024646,-2.24963123071593,-3.43281440785883,-2.77924407113026
"OR1_1190|FS2|2|8|SW","OR1_1190",2018-03-30,"Slope","Fangliao",400,"FS2","2",8,"SW",2,-0.00677145723754217,0.284273841144718,-0.101229280392109,7.85,9.23841666666667,-0.00745551496897766,0.312991399575389,-0.111455538857711,-0.976683726097377,-1.08157848848197,-0.44462362121983
"OR1_1190|FC2|2|5|SW","OR1_1190",2018-03-30,"Canyon","Fangliao",664,"FC2","2",5,"SW",4,0.0144969023712882,-1.74971703792896,-0.501479448887467,7.9,6.70188333333333,0.0133416120710146,-1.61027820676553,-0.461515439456481,-0.748099367169989,-0.693270438228573,-4.91303395647158
"OR1_1190|FC1|1|1|SW","OR1_1190",2018-03-31,"Canyon","Fangliao",379,"FC1","1",1,"SW",12,0.0207508564346596,-4.0798655639395,-0.104788994722694,7.6,13.71915,0.0317132532395329,-6.23520336232259,-0.160147603392708,-6.29622081693917,-9.51190609486729,-2.62188123710065
"OR1_1190|GS1|1|1|SW","OR1_1190",2018-03-31,"Slope","Gaoping",275,"GS1","1",1,"SW",6,0.0415201060539108,5.61653798256538,1.12967403206883,7.9,12.7102333333333,0.0579509962059826,7.83918930495472,1.57672370733869,-4.02809671282445,-5.66125400762353,-2.58687968867422
"OR1_1190|GS3|1|1|SW","OR1_1190",2018-04-01,"Slope","Gaoping",687,"GS3","1",1,"SW",7,-0.0612316715542522,6.42644628099174,-2.32668745342659,7.8,6.61966666666667,-0.0564214887700698,5.92160327279604,-2.14390962540781,-6.54545454545455,-6.03126259266264,-2.32191769905144
