Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
13-Nov-2020;18:55:06;default       ;95111     ;DIP_3;0.00;min;156.891;umol/l;humid;29.213;deg;266670;uV;10.857;°C;1015.370;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252221;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.238;
13-Nov-2020;18:55:07;default       ;95111     ;DIP_3;0.02;min;157.259;umol/l;humid;29.223;deg;266521;uV;10.760;°C;1015.390;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252155;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.238;
13-Nov-2020;18:55:08;default       ;95111     ;DIP_3;0.03;min;157.380;umol/l;humid;29.245;deg;266575;uV;10.683;°C;1015.380;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252145;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.241;
13-Nov-2020;18:55:09;default       ;95111     ;DIP_3;0.05;min;158.028;umol/l;humid;29.263;deg;266765;uV;10.512;°C;1015.430;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252123;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.233;
13-Nov-2020;18:55:10;default       ;95111     ;DIP_3;0.07;min;158.118;umol/l;humid;29.281;deg;266898;uV;10.451;°C;1015.400;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252131;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;
13-Nov-2020;18:55:11;default       ;95111     ;DIP_3;0.08;min;158.493;umol/l;humid;29.303;deg;266979;uV;10.325;°C;1015.340;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252101;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;
13-Nov-2020;18:55:12;default       ;95111     ;DIP_3;0.10;min;158.934;umol/l;humid;29.318;deg;267040;uV;10.204;°C;1015.400;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252098;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;
13-Nov-2020;18:55:13;default       ;95111     ;DIP_3;0.12;min;158.987;umol/l;humid;29.336;deg;267281;uV;10.151;°C;1015.380;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252092;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.229;
13-Nov-2020;18:55:14;default       ;95111     ;DIP_3;0.13;min;159.388;umol/l;humid;29.352;deg;267733;uV;10.035;°C;1015.360;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252085;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;
13-Nov-2020;18:55:15;default       ;95111     ;DIP_3;0.15;min;159.635;umol/l;humid;29.366;deg;267767;uV;9.954;°C;1015.390;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252085;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;V
13-Nov-2020;18:55:16;default       ;95111     ;DIP_3;0.17;min;159.678;umol/l;humid;29.379;deg;268083;uV;9.915;°C;1015.380;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252083;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.231;V
13-Nov-2020;18:55:17;default       ;95111     ;DIP_3;0.18;min;159.920;umol/l;humid;29.395;deg;268152;uV;9.831;°C;1015.410;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252076;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;V
13-Nov-2020;18:55:18;default       ;95111     ;DIP_3;0.20;min;160.010;umol/l;humid;29.411;deg;268375;uV;9.776;°C;1015.410;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252069;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.231;V
13-Nov-2020;18:55:19;default       ;95111     ;DIP_3;0.22;min;160.213;umol/l;humid;29.419;deg;268237;uV;9.718;°C;1015.440;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252069;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.232;V
13-Nov-2020;18:55:20;default       ;95111     ;DIP_3;0.23;min;160.291;umol/l;humid;29.433;deg;268446;uV;9.670;°C;1015.420;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252051;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.231;V
13-Nov-2020;18:55:21;default       ;95111     ;DIP_3;0.25;min;160.295;umol/l;humid;29.445;deg;268621;uV;9.641;°C;1015.440;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;252059;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.230;V
