Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
13-Nov-2020;18:48:00;default       ;95111     ;DIP_3;0.00;min;148.669;umol/l;humid;30.547;deg;294688;uV;9.335;°C;1015.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254765;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.278;V
13-Nov-2020;18:48:01;default       ;95111     ;DIP_3;0.02;min;148.498;umol/l;humid;30.550;deg;294587;uV;9.363;°C;1015.310;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254716;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.278;V
13-Nov-2020;18:48:02;default       ;95111     ;DIP_3;0.03;min;148.498;umol/l;humid;30.559;deg;294618;uV;9.342;°C;1015.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254700;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.273;V
13-Nov-2020;18:48:03;default       ;95111     ;DIP_3;0.05;min;148.483;umol/l;humid;30.558;deg;294738;uV;9.347;°C;1015.300;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254680;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.273;V
13-Nov-2020;18:48:04;default       ;95111     ;DIP_3;0.07;min;148.464;umol/l;humid;30.565;deg;294714;uV;9.335;°C;1015.230;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254674;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.273;V
13-Nov-2020;18:48:05;default       ;95111     ;DIP_3;0.08;min;148.374;umol/l;humid;30.570;deg;294639;uV;9.341;°C;1015.250;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254653;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.273;V
13-Nov-2020;18:48:06;default       ;95111     ;DIP_3;0.10;min;148.373;umol/l;humid;30.574;deg;294618;uV;9.332;°C;1015.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254632;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.271;V
13-Nov-2020;18:48:07;default       ;95111     ;DIP_3;0.12;min;148.329;umol/l;humid;30.578;deg;294667;uV;9.332;°C;1015.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254641;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.272;V
13-Nov-2020;18:48:08;default       ;95111     ;DIP_3;0.13;min;148.374;umol/l;humid;30.584;deg;294744;uV;9.309;°C;1015.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254627;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.271;V
13-Nov-2020;18:48:09;default       ;95111     ;DIP_3;0.15;min;148.293;umol/l;humid;30.588;deg;294710;uV;9.316;°C;1015.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254624;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.272;V
