Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
30-Nov-2020;14:25:38;default       ;95111     ;DIP_3;0.00;min;177.574;umol/l;humid;22.278;deg;252471;uV;25.390;°C;1018.310;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253906;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.009;
30-Nov-2020;14:25:39;default       ;95111     ;DIP_3;0.02;min;177.347;umol/l;humid;22.294;deg;252495;uV;25.388;°C;1018.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253850;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.009;
30-Nov-2020;14:25:40;default       ;95111     ;DIP_3;0.03;min;177.006;umol/l;humid;22.313;deg;252506;uV;25.399;°C;1018.260;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253827;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.002;
30-Nov-2020;14:25:41;default       ;95111     ;DIP_3;0.05;min;176.812;umol/l;humid;22.330;deg;252234;uV;25.388;°C;1018.290;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253802;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.000;
30-Nov-2020;14:25:42;default       ;95111     ;DIP_3;0.07;min;176.542;umol/l;humid;22.346;deg;252474;uV;25.394;°C;1018.250;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253783;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.001;
30-Nov-2020;14:25:43;default       ;95111     ;DIP_3;0.08;min;176.356;umol/l;humid;22.360;deg;252383;uV;25.390;°C;1018.230;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253778;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.000;
30-Nov-2020;14:25:44;default       ;95111     ;DIP_3;0.10;min;176.044;umol/l;humid;22.375;deg;252805;uV;25.408;°C;1018.200;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253761;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.000;
30-Nov-2020;14:25:45;default       ;95111     ;DIP_3;0.12;min;175.891;umol/l;humid;22.388;deg;252687;uV;25.400;°C;1018.220;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253759;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;4.999;
30-Nov-2020;14:25:46;default       ;95111     ;DIP_3;0.13;min;175.833;umol/l;humid;22.394;deg;244522;uV;25.395;°C;1018.290;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253754;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.002;
30-Nov-2020;14:25:47;default       ;95111     ;DIP_3;0.15;min;175.649;umol/l;humid;22.407;deg;245348;uV;25.393;°C;1018.320;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253728;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.000;
