Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
30-Nov-2020;14:23:47;default       ;95111     ;DIP_3;0.00;min;185.848;umol/l;humid;21.735;deg;239120;uV;25.398;°C;1018.270;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254619;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.020;
30-Nov-2020;14:23:48;default       ;95111     ;DIP_3;0.02;min;185.499;umol/l;humid;21.755;deg;239255;uV;25.404;°C;1018.220;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254591;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.011;
30-Nov-2020;14:23:49;default       ;95111     ;DIP_3;0.03;min;185.331;umol/l;humid;21.771;deg;238121;uV;25.388;°C;1018.290;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254566;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.010;
30-Nov-2020;14:23:50;default       ;95111     ;DIP_3;0.05;min;185.126;umol/l;humid;21.783;deg;237606;uV;25.392;°C;1018.230;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254546;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.011;
30-Nov-2020;14:23:51;default       ;95111     ;DIP_3;0.07;min;184.823;umol/l;humid;21.798;deg;240498;uV;25.404;°C;1018.260;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254529;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.010;
30-Nov-2020;14:23:52;default       ;95111     ;DIP_3;0.08;min;184.671;umol/l;humid;21.814;deg;242409;uV;25.386;°C;1018.270;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254509;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.009;
30-Nov-2020;14:23:53;default       ;95111     ;DIP_3;0.10;min;184.505;umol/l;humid;21.824;deg;242790;uV;25.388;°C;1018.220;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254501;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.010;
30-Nov-2020;14:23:54;default       ;95111     ;DIP_3;0.12;min;184.280;umol/l;humid;21.835;deg;242948;uV;25.398;°C;1018.220;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254491;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.010;
30-Nov-2020;14:23:55;default       ;95111     ;DIP_3;0.13;min;184.183;umol/l;humid;21.844;deg;243391;uV;25.390;°C;1018.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254487;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:23:56;default       ;95111     ;DIP_3;0.15;min;184.011;umol/l;humid;21.854;deg;242301;uV;25.393;°C;1018.210;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254485;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.009;
30-Nov-2020;14:23:57;default       ;95111     ;DIP_3;0.17;min;183.874;umol/l;humid;21.864;deg;241370;uV;25.389;°C;1018.270;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254473;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.012;
30-Nov-2020;14:23:58;default       ;95111     ;DIP_3;0.18;min;183.724;umol/l;humid;21.874;deg;240832;uV;25.388;°C;1018.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254461;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.010;
30-Nov-2020;14:23:59;default       ;95111     ;DIP_3;0.20;min;183.691;umol/l;humid;21.876;deg;241155;uV;25.389;°C;1018.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254461;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.010;
30-Nov-2020;14:24:00;default       ;95111     ;DIP_3;0.22;min;183.525;umol/l;humid;21.885;deg;241158;uV;25.394;°C;1018.230;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254441;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:01;default       ;95111     ;DIP_3;0.23;min;183.413;umol/l;humid;21.891;deg;240573;uV;25.397;°C;1018.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254431;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:02;default       ;95111     ;DIP_3;0.25;min;183.339;umol/l;humid;21.899;deg;241652;uV;25.388;°C;1018.220;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254430;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.012;
30-Nov-2020;14:24:03;default       ;95111     ;DIP_3;0.27;min;183.243;umol/l;humid;21.907;deg;242537;uV;25.383;°C;1018.200;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254427;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.009;
30-Nov-2020;14:24:04;default       ;95111     ;DIP_3;0.28;min;183.152;umol/l;humid;21.916;deg;243505;uV;25.373;°C;1018.260;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254423;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:05;default       ;95111     ;DIP_3;0.30;min;183.025;umol/l;humid;21.920;deg;243293;uV;25.386;°C;1018.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254411;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:06;default       ;95111     ;DIP_3;0.32;min;182.884;umol/l;humid;21.926;deg;243972;uV;25.395;°C;1018.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254398;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:07;default       ;95111     ;DIP_3;0.33;min;182.709;umol/l;humid;21.931;deg;243838;uV;25.413;°C;1018.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254399;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:08;default       ;95111     ;DIP_3;0.35;min;182.772;umol/l;humid;21.933;deg;242345;uV;25.396;°C;1018.270;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254391;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.008;
30-Nov-2020;14:24:09;default       ;95111     ;DIP_3;0.37;min;182.652;umol/l;humid;21.939;deg;241913;uV;25.401;°C;1018.220;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;254383;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201130;112301;1;5.006;
