Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
12-Nov-2020;18:03:51;default       ;95111     ;DIP_3;0.00;min;172.054;umol/l;humid;28.834;deg;281964;uV;8.929;°C;1016.140;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253280;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.247;V
12-Nov-2020;18:03:52;default       ;95111     ;DIP_3;0.02;min;171.922;umol/l;humid;28.849;deg;282009;uV;8.918;°C;1016.180;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253209;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.247;V
12-Nov-2020;18:03:53;default       ;95111     ;DIP_3;0.03;min;171.652;umol/l;humid;28.885;deg;282384;uV;8.881;°C;1016.180;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253206;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.238;V
12-Nov-2020;18:03:54;default       ;95111     ;DIP_3;0.05;min;171.358;umol/l;humid;28.926;deg;282540;uV;8.837;°C;1016.100;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253180;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.237;V
12-Nov-2020;18:03:55;default       ;95111     ;DIP_3;0.07;min;171.095;umol/l;humid;28.963;deg;282800;uV;8.797;°C;1016.080;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253165;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.236;V
12-Nov-2020;18:03:56;default       ;95111     ;DIP_3;0.08;min;170.594;umol/l;humid;29.001;deg;283096;uV;8.796;°C;1016.080;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253173;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.237;V
12-Nov-2020;18:03:57;default       ;95111     ;DIP_3;0.10;min;169.975;umol/l;humid;29.040;deg;283417;uV;8.815;°C;1016.100;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253144;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.238;V
12-Nov-2020;18:03:58;default       ;95111     ;DIP_3;0.12;min;169.433;umol/l;humid;29.075;deg;283782;uV;8.829;°C;1016.200;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253137;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.236;V
12-Nov-2020;18:03:59;default       ;95111     ;DIP_3;0.13;min;169.127;umol/l;humid;29.108;deg;284024;uV;8.807;°C;1016.280;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253127;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.237;V
12-Nov-2020;18:04:00;default       ;95111     ;DIP_3;0.15;min;168.882;umol/l;humid;29.138;deg;284221;uV;8.780;°C;1016.240;mbar;35.0;pmil;0;55.170;deg;20.000;°C;100.000;%a.s.;21.450;deg;20.000;°C;976;mbar;0.8520;-0.02617;0.000350;0.00000;0.000000;10.29;humid;36;50.000;253129;SAAF0004000086;     p1.3.0.7 ;PSt7-10;151201-1;201112;112301;1;5.236;V
