"Cruise","Station","Integrated_Prod.mean","In_situ_Integrated_Prod.mean","Integrated_Prod_at_10C.mean","Integrated_Prod.sd","In_situ_Integrated_Prod.sd","Integrated_Prod_at_10C.sd","Integrated_Prod.length","In_situ_Integrated_Prod.length","Integrated_Prod_at_10C.length"
"NOR1_T004","GC1",-0.00257346807649137,-0.00278467273706474,-0.00235462577479891,0.0025544405620783,0.00259912185939659,0.00219773018226529,6,6,6
"NOR1_T004","M1",-0.00114688744676019,-0.00180581426019912,-0.00118419049293866,0.000286904444109279,0.000531328023881042,0.000348426528895853,3,3,3
"NOR1_T007","L1",-0.00282013317773147,-0.00336324101044809,-0.00103902989661794,0.00513701054362872,0.00613457573336083,0.00189519798617692,5,5,5
"NOR1_T011","G96",-0.000170962865988549,-8.87211311913585e-05,-8.99180714555737e-05,3.80817803238567e-05,1.97625291818616e-05,2.00291462389579e-05,2,2,2
"NOR1_T011","GC1",-0.000525449356172048,-0.000334238353028621,-0.00026814077529409,0.000706664094994706,0.000415947343360003,0.00033369133769193,5,5,5
"NOR1_T011","GS1",-0.000132665323738599,-9.92094499566145e-05,-7.89009432514291e-05,0.000713380519284189,0.000525579896415645,0.00041799193120532,9,9,9
"NOR1_T011","L1",-0.00187419350790063,-0.00207825916597531,-0.000752114339328826,0.00303952781259523,0.00325204984291549,0.00117690486302797,6,6,6
"OR1_1126","GC1",-0.00112253474472993,-0.000764729676715466,-0.000646516950281098,,,,1,1,1
"OR1_1126","GS1",-0.00154344182512315,-0.000686658386450509,-0.000524549601703121,0.000330970234362656,0.00014724460837549,0.000112482570955772,2,2,2
"OR1_1126","GS4",-0.00272751971991016,-0.00087137540243048,-0.00118722191428454,,,,1,1,1
"OR1_1128","GC1",-0.00112925631486151,-0.00123255399459825,-0.000947750476325358,0.000537785313655597,0.000585307118265941,0.000450061500400216,16,16,16
"OR1_1132","ST3",-0.00230031777470574,-0.00154838860191763,-0.00228494471529433,0.00166099830254568,0.00115080929960594,0.00169824010858098,14,14,14
"OR1_1132","ST5",-0.00172594572621676,-0.0010627127980589,-0.00174257621434854,0.000473105204933091,0.000293931323210454,0.000481971924506872,16,16,16
"OR1_1138","GS5",-0.000785017939669208,-0.000426969623167474,-0.000686311454171671,0.000965902441350459,0.000520751087226353,0.000837055885344827,11,11,11
"OR1_1138","GS6",-0.00317419265625261,-0.00163474557676814,-0.0027196188097928,0.00227330728786396,0.00113350039309521,0.00188573013059541,12,12,12
"OR1_1138","GS7",-0.00197035437612059,-0.000997740432832888,-0.00169398736240111,0.000751001041530614,0.000394691134061761,0.000670115965185476,12,12,12
"OR1_1138","S27",-0.000883771794497222,-0.000475555184631511,-0.000809728223783924,0.000712705489610422,0.000375473081604869,0.000639318340482754,10,10,10
"OR1_1138","S27a",-0.00187729605934911,-0.000968434086343282,-0.00164895355560927,0.000942152196900425,0.000443065652555813,0.00075440826944548,11,11,11
"OR1_1151","GC1",-0.000862148851390945,-0.000851436324817571,-0.000732047353594506,0.000715927807145201,0.000707032132522093,0.000607891613773907,3,3,3
"OR1_1151","GC4",-0.000663997494101335,-0.000474816300452774,-0.00061354867259776,,,,1,1,1
"OR1_1151","GS1",-0.00121544434797475,-0.0011409523953469,-0.00092912112971634,0.000405211241462166,0.00033197244377449,0.000270337845165458,2,2,2
"OR1_1151","GS3",-0.00060084976120643,-0.000422929053447799,-0.000520245412183658,0.000293451986068734,0.000210925379716353,0.000259459500868915,2,2,2
"OR1_1151","GS4",-0.00199478674208459,-0.00110982036863264,-0.00148785560351401,,,,1,1,1
"OR1_1169","GS10",-7.99198579050894e-05,-4.53166400044821e-05,-7.69181588499375e-05,0.000107582188642565,5.9628590635263e-05,0.000101210535600773,12,12,12
