"Cruise","Station","Deployment","Tube","Channel","Region","Habitat",".id","Depth","DO.mean","DO.sd"
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",0,107.092399597168,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",100,103.914489746094,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",200,101.767349243164,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",300,99.5387725830078,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",400,96.2502059936523,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",500,95.0693893432617,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",600,91.8079605102539,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",700,88.3573455810547,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",800,86.076042175293,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",900,83.0555114746094,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1000,79.787956237793,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1100,76.805305480957,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1200,73.0709991455078,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1300,70.1210403442383,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1400,66.3478012084961,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1500,62.4628562927246,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1600,58.2116317749023,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1700,54.5824012756348,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1800,50.7428016662598,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",1900,47.2626533508301,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2000,43.5727081298828,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2100,40.0974998474121,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2200,35.7279586791992,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2300,31.9389801025391,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2400,26.8836727142334,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2500,21.8514289855957,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2600,17.6371421813965,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2700,14.2067346572876,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2800,11.1001996994019,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",2900,8.3346004486084,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3000,5.69099998474121,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3100,3.43489789962769,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3200,1.81159996986389,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3300,0.823333323001862,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3400,-0.240833327174187,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3500,-0.971020400524139,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3600,-1.27591836452484,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3700,-1.31530606746674,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3800,-1.38122451305389,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",3900,-1.43693876266479,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4000,-1.19836735725403,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4100,-1.37285709381104,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4200,-1.52900004386902,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4300,-1.37102043628693,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4400,-1.5077999830246,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4500,-1.60734689235687,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4600,-1.48749995231628,
"NOR1_T004","GC1","1","10","3","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch3",4700,-1.55979597568512,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",0,97.6772003173828,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",100,94.646598815918,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",200,91.0398025512695,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",300,88.9828567504883,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",400,86.4838027954102,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",500,81.7610397338867,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",600,77.6504135131836,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",700,73.2936706542969,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",800,69.6353073120117,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",900,65.7951049804688,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1000,61.8024482727051,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1100,58.0322456359863,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1200,54.349796295166,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1300,49.7961235046387,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1400,45.0421981811523,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1500,36.0195922851563,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1600,32.0862007141113,
"NOR1_T004","GC1","1","10","4","Gaoping","Canyon","NOR1_T004_GC1_1_10_Ch4",1700,26.8769378662109,
