"Cruise","Station","Deployment","Tube","Channel","Region","Habitat",".id","Depth","DO.mean","DO.sd"
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",0,117.443466186523,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",100,116.774375915527,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",200,115.626800537109,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",300,114.759796142578,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",400,113.264282226563,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",500,111.70938873291,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",600,110.188201904297,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",700,108.595199584961,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",800,106.845306396484,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",900,105.324203491211,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",1000,104.077140808105,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",1100,102.745712280273,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",1200,100.704895019531,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",1300,98.762451171875,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",1400,96.2342834472656,
"NOR1_T004","M1","2","4","3","Gaoping","Slope","NOR1_T004_M1_2_4_Ch3",1500,93.2395935058594,
