"","Variable","Unit"
"Flux","Cruise",""
"Flux","Station",""
"Flux","Deployment",""
"Flux","Tube",""
"Flux","Channel",""
"Flux","Region",""
"Flux","Habitat",""
"Flux",".id",""
"Flux","Zone",""
"Flux","SSE",""
"Flux","P.Value",""
"Flux","Top_Concen","umol/L"
"Flux","Bottom_Concen","umol/L"
"Flux","Top_Flux","nmol cm-2 s-1"
"Flux","Bottom_Flux","nmol cm-2 s-1"
"Flux","Integrated_Prod","nmol cm-2 s-1"
"Flux","OPD","um"
"Obs","Cruise",""
"Obs","Station",""
"Obs","Deployment",""
"Obs","Tube",""
"Obs","Channel",""
"Obs","Region",""
"Obs","Habitat",""
"Obs",".id",""
"Obs","Depth","um"
"Obs","DO.mean","uM"
"Obs","DO.sd","uM"
"Sim","Cruise",""
"Sim","Station",""
"Sim","Deployment",""
"Sim","Tube",""
"Sim","Channel",""
"Sim","Region",""
"Sim","Habitat",""
"Sim",".id",""
"Sim","DO","uM"
"Sim","Depth","um"
"Act","Cruise",""
"Act","Station",""
"Act","Deployment",""
"Act","Tube",""
"Act","Channel",""
"Act","Region",""
"Act","Habitat",""
"Act",".id",""
"Act","Zone",""
"Act","Bound",""
"Act","Depth","um"
"Act","Type",""
"Act","variable",""
"Act","Activity","nmol cm-3 s-1"
"Act","Path",""
"Act","Scale","uM"
"Tick","Cruise",""
"Tick","Station",""
"Tick","Deployment",""
"Tick","Tube",""
"Tick","Channel",""
"Tick","Region",""
"Tick","Habitat",""
"Tick",".id",""
"Tick","x",""
"Tick","Lab",""
"Tick","y",""
